hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
2,177,0.025850445491304302,0.41767897748981897,0.11319713
3,177,0.0269031542376134,0.23322633746786134,0.11154059
4,177,0.02776554240213651,0.12941008270316526,0.11264495
5,177,0.0,0.16040478522535412,0.1109884
6,177,0.01447308540719902,0.17861732724071336,0.14467145
7,177,0.1452148342960639,0.2875424313941613,0.15019326
8,177,0.3366671655195413,0.2546710245636384,0.16510215
9,177,0.5256639361990729,0.06171365412656317,0.24295969
10,177,0.6823967200850832,0.028914805694605507,0.25069023
11,177,0.7923746021547832,0.0921827667482801,0.26725566
12,177,0.8571978629380103,0.07410001095116739,0.26725566
13,177,0.8004684330811667,0.18815848058728504,0.21148537
14,177,0.817014038569533,0.2443425108520733,0.21148537
15,177,0.7594582827125244,0.27871440560521915,0.18001104
16,177,0.5884840057048761,0.40948050035183514,0.19657648
17,177,0.42451184659928476,0.22703257893196524,0.21976808
18,177,0.16450369709145635,0.17629122876468428,0.20375483
19,177,0.03752627833769561,0.0,0.19381557
20,177,0.0055409281108103935,0.0,0.18829376
21,177,0.0,0.005999375782295069,0.17007178
22,177,0.03575470071665741,0.0355516765639983,0.13859746
23,177,0.03265308600935749,0.13292932706890803,0.1109884
24,177,0.03402360039446331,0.0,0.1082275
1,178,0.02774591950229527,0.11455422526716956,0.11430149
2,178,0.028331518567224972,0.0,0.11319713
3,178,0.02745607559288413,0.0,0.11154059
4,178,0.028042050136521036,0.0,0.11264495
5,178,0.0,0.03976468623645675,0.1109884
6,178,0.016653958694565513,0.13307719148330044,0.14467145
7,178,0.15929704413592685,0.1461783762930181,0.15019326
8,178,0.3703489056597208,0.014762273600594325,0.16510215
9,178,0.5658048001209449,0.0,0.24295969
10,178,0.7254669560704831,0.0,0.25069023
11,178,0.8346235282606036,0.028384083068283463,0.26725566
12,178,0.8809000718401755,0.1388268746376063,0.26725566
13,178,0.8846148071639585,0.19201828451004527,0.21148537
14,178,0.7646847780157728,0.306775370817142,0.21148537
15,178,0.6313341443675285,0.379565561923964,0.18001104
16,178,0.4904819194670168,0.38943926337380824,0.19657648
17,178,0.40838019513094614,0.4363452646525574,0.21976808
18,178,0.15636972145114142,0.21588068404328328,0.20375483
19,178,0.07702419060853086,0.17427728481335306,0.19381557
20,178,0.004594284682424564,0.2730598197307083,0.18829376
21,178,0.0,0.10362567038169111,0.17007178
22,178,0.03496742475746172,0.1195885286399266,0.13859746
23,178,0.03279902952643963,0.15404819441503068,0.1109884
24,178,0.033981782886132156,0.054679074295917,0.1082275
1,179,0.02564823372179332,0.17132305717057938,0.11430149
2,179,0.021603984036321668,0.13801552639459827,0.11319713
3,179,0.021560819789547957,0.0,0.11154059
4,179,0.022713422996344608,0.11554679870138004,0.11264495
5,179,0.0,0.23039822976276386,0.1109884
6,179,0.01740700106688904,0.3380852420449434,0.14467145
7,179,0.15512132750764265,0.35228599451205905,0.15019326
8,179,0.3471057208625019,0.16492097087791102,0.16510215
9,179,0.5315102407021651,0.0011260883406562481,0.24295969
10,179,0.6848240035899534,0.0,0.25069023
11,179,0.7994771609595462,0.0,0.26725566
12,179,0.8640379119703367,0.12088485801688535,0.26725566
13,179,0.8597880110597113,0.07372262977933715,0.21148537
14,179,0.7763258837268918,0.08758222491471607,0.21148537
15,179,0.7583761417042242,0.2121537811591272,0.18001104
16,179,0.6219688550442894,0.2510921473631517,0.19657648
17,179,0.4704472817169922,0.6101685488151386,0.21976808
18,179,0.29909043719357215,0.30935349168150095,0.20375483
19,179,0.11126238241012093,0.10229987454932503,0.19381557
20,179,0.011593625088587252,0.3627223572724531,0.18829376
21,179,0.0,0.0,0.17007178
22,179,0.034569697030249626,0.0,0.13859746
23,179,0.03233975461215979,0.0,0.1109884
24,179,0.03397436569168329,0.0,0.1082275
1,180,0.02637733571503685,0.07903721120067639,0.11430149
2,180,0.024577520256044785,0.14397125163304528,0.11319713
3,180,0.027066893786256662,0.001807737471878838,0.11154059
4,180,0.027422920298443995,0.029754340824024384,0.11264495
5,180,0.0,0.0,0.1109884
6,180,0.02069934804941783,0.0,0.14467145
7,180,0.1734821814138775,0.029139795569537358,0.15019326
8,180,0.38659818884930075,0.06730802394375705,0.16510215
9,180,0.5798594253225828,0.0,0.24295969
10,180,0.7356876592265268,0.10359007725922956,0.25069023
11,180,0.846749113475497,0.25479209559943405,0.26725566
12,180,0.9113821828911074,0.18870308103157432,0.26725566
13,180,0.9106748485041197,0.16304488618337248,0.21148537
14,180,0.8502148325182727,0.2645297458683707,0.21148537
15,180,0.7258523227945145,0.28747704521908035,0.18001104
16,180,0.635669785735437,0.36317627170346517,0.19657648
17,180,0.4638129385521407,0.42633222957869044,0.21976808
18,180,0.22728127984790514,0.22805241582562746,0.20375483
19,180,0.06392538169564371,0.17497369680358194,0.19381557
20,180,0.005704565251956225,0.2362692310729119,0.18829376
21,180,0.0,0.16057352083367163,0.17007178
22,180,0.034845156518959176,0.0,0.13859746
23,180,0.03280804331277598,0.06570661873077539,0.1109884
24,180,0.03428128107607557,0.1796789380579211,0.1082275
1,181,0.026244276690742998,0.03910969932459679,0.11430149
2,181,0.023187142534724443,0.0371126042123982,0.11319713
3,181,0.025162718732547062,0.05236044040249286,0.11154059
4,181,0.027085435765928426,8.741342329837457e-5,0.11264495
5,181,0.0,0.0,0.1109884
6,181,0.026850011056948626,0.0,0.14467145
7,181,0.20964022819738273,0.0,0.15019326
8,181,0.4417121625334148,0.0,0.16510215
9,181,0.640257016598848,0.020535812933908344,0.24295969
10,181,0.793811019080454,0.258239438395662,0.25069023
11,181,0.9022230695147506,0.24349231578602332,0.26725566
12,181,0.9511820414229935,0.23872144694412728,0.26725566
13,181,0.9336562940547923,0.08015824199541095,0.21148537
14,181,0.8748850235005214,0.1798355450189369,0.21148537
15,181,0.6922209170315273,0.33823959232923506,0.18001104
16,181,0.622105939044045,0.4623345585848039,0.19657648
17,181,0.42663101240867957,0.5463855557952272,0.21976808
18,181,0.19036359637372732,0.3269754447474919,0.20375483
19,181,0.04267090449744361,0.0270789160204762,0.19381557
20,181,0.004410296882448821,0.0,0.18829376
21,181,0.0,0.0,0.17007178
22,181,0.03485139767342362,0.08730133211977932,0.13859746
23,181,0.032660877052761,0.023046565041841237,0.1109884
24,181,0.034121826761350886,0.057930468669064955,0.1082275
1,182,0.025653862585392033,0.05657374453446057,0.11430149
2,182,0.022127982255507515,0.2856670941660163,0.11319713
3,182,0.022993478995100756,0.15323242659049224,0.11154059
4,182,0.02454291659806421,0.1642441491428823,0.11264495
5,182,0.0,0.12555232683354448,0.1109884
6,182,0.01883555713338807,0.20269618094429112,0.14467145
7,182,0.16252973310095956,0.11215279690295814,0.15019326
8,182,0.36102741028721624,0.0,0.16510215
9,182,0.5498359390109425,0.0,0.24295969
10,182,0.7071823914842554,0.0,0.25069023
11,182,0.8188573056013625,0.19116103340531154,0.26725566
12,182,0.8825904655525368,0.08642597464584029,0.26725566
13,182,0.8680552016312141,0.05798525323678954,0.21148537
14,182,0.7794704166993899,0.13969000893621442,0.21148537
15,182,0.7775396692777963,0.12458006839101493,0.18001104
16,182,0.6396960925129325,0.07391334746901723,0.19657648
17,182,0.4766061888631881,0.31121479498639304,0.21976808
18,182,0.29460917124316954,0.3920129450894763,0.20375483
19,182,0.08064844046199726,0.3230006844787124,0.19381557
20,182,0.006370812628743106,0.04021770076664592,0.18829376
21,182,0.0,0.0,0.17007178
22,182,0.034312710628526866,0.06363396247495735,0.13859746
23,182,0.032467269776451854,0.0,0.1109884
24,182,0.034032179041763436,0.37630777539010274,0.1082275
1,183,0.027277648641595844,0.0,0.11430149
2,183,0.02808544109085372,0.0,0.11319713
3,183,0.02762351821541127,0.0,0.11154059
4,183,0.028428430628355213,0.0,0.11264495
5,183,0.0,0.07171735889262497,0.1109884
6,183,0.01547495035728008,0.2723628067372813,0.14467145
7,183,0.15271599094619065,0.307362572799448,0.15019326
8,183,0.3552915770977056,0.22909070127268172,0.16510215
9,183,0.5485552686809727,0.050473585790131434,0.24295969
10,183,0.7064982283173199,0.0,0.25069023
11,183,0.8173063815867154,0.0,0.26725566
12,183,0.8796405407786021,0.0,0.26725566
13,183,0.8722133498010661,0.11624282353500325,0.21148537
14,183,0.7675245500965302,0.09189211320464734,0.21148537
15,183,0.7723640737079235,0.30212911522618763,0.18001104
16,183,0.4572938156756888,0.43323215885986555,0.19657648
17,183,0.37330318192780776,0.4941619099126294,0.21976808
18,183,0.14552434636063072,0.3023672964884556,0.20375483
19,183,0.061627906635281546,0.19951224933542572,0.19381557
20,183,0.00785406661819432,0.10644632144044064,0.18829376
21,183,0.0,0.0037255226745390967,0.17007178
22,183,0.035240608337777105,0.07299926354933728,0.13859746
23,183,0.033212016697803576,0.0,0.1109884
24,183,0.03412845739385456,0.0,0.1082275
1,184,0.02620098311704382,0.0,0.11430149
2,184,0.021932415175438143,0.0,0.11319713
3,184,0.023907751978113834,0.0,0.11154059
4,184,0.025703820148442764,0.0,0.11264495
5,184,0.0,0.09695404412277556,0.1109884
6,184,0.020485219912304568,0.0,0.14467145
7,184,0.16862138014785352,0.07005954320492984,0.15019326
8,184,0.37726698761053173,0.06143795731587443,0.16510215
9,184,0.5764774878581462,0.0,0.24295969
