시간,총부하MW,실부하MW
2025-05-02 오전 4:40:00,43975.777344,43485.671875
2025-05-02 오전 4:45:00,44131.066406,43630.800781
2025-05-02 오전 4:50:00,44176.394531,43682.011719
2025-05-02 오전 4:55:00,44216.730469,43717.148438
2025-05-02 오전 5:00:00,44208.070312,43709.503906
2025-05-02 오전 5:05:00,44555.582031,44049.851562
2025-05-02 오전 5:10:00,44835.113281,44339.179688
2025-05-02 오전 5:15:00,44763.738281,44256.398438
2025-05-02 오전 5:20:00,44853.359375,44347.253906
2025-05-02 오전 5:25:00,44856.3125,44364.480469
2025-05-02 오전 5:30:00,44765.113281,44264.191406
2025-05-02 오전 5:35:00,45114.152344,44615.898438
2025-05-02 오전 5:40:00,45111.058594,44599.8125
2025-05-02 오전 5:45:00,45285.808594,44779.03125
2025-05-02 오전 5:50:00,45415.046875,44896.296875
2025-05-02 오전 5:55:00,45550.28125,45046.855469
2025-05-02 오전 6:00:00,45790.902344,45268.300781
2025-05-02 오전 6:05:00,46117.933594,45590.136719
2025-05-02 오전 6:10:00,46172.648438,45631.617188
2025-05-02 오전 6:15:00,46076.992188,45534.246094
2025-05-02 오전 6:20:00,46153.140625,45622.046875
2025-05-02 오전 6:25:00,46347.871094,45814.445312
2025-05-02 오전 6:30:00,46223.324219,45687.851562
2025-05-02 오전 6:35:00,46381.839844,45837.386719
2025-05-02 오전 6:40:00,46342.097656,45790.636719
2025-05-02 오전 6:45:00,46311.832031,45771.449219
2025-05-02 오전 6:50:00,46313.417969,45771.78125
2025-05-02 오전 6:55:00,46145.359375,45606.808594
2025-05-02 오전 7:00:00,46071.351562,45539.46875
2025-05-02 오전 7:05:00,46399.078125,45844.746094
2025-05-02 오전 7:15:00,46012.277344,45460.941406
2025-05-02 오전 7:20:00,45761.632812,45196.945312
2025-05-02 오전 7:25:00,45275.558594,44703.074219
2025-05-02 오전 7:30:00,45180.234375,44593.300781
2025-05-02 오전 7:35:00,45009.019531,44415.058594
2025-05-02 오전 7:40:00,44597.507812,44016.058594
2025-05-02 오전 7:45:00,44215.097656,43641.078125
2025-05-02 오전 7:50:00,43926.097656,43312.804688
2025-05-02 오전 7:55:00,43532.351562,42949.214844
2025-05-02 오전 8:00:00,43371.792969,42753.6875
2025-05-02 오전 8:05:00,42796.351562,42171.046875
2025-05-02 오전 8:10:00,42676.292969,42056.226562
2025-05-02 오전 8:15:00,42580.078125,41965.023438
2025-05-02 오전 8:20:00,42046.183594,41440.703125
2025-05-02 오전 8:25:00,41790,41169.589844
2025-05-02 오전 8:30:00,41597.675781,40968.527344
2025-05-02 오전 8:35:00,41514.195312,40883.941406
2025-05-02 오전 8:40:00,41442.9375,40806.128906
2025-05-02 오전 8:45:00,41177.683594,40521.824219
2025-05-02 오전 8:50:00,40859.195312,40160.960938
2025-05-02 오전 8:55:00,40563.269531,39838.359375
2025-05-02 오전 9:05:00,39928.699219,39177.683594
2025-05-02 오전 9:10:00,39636.796875,38856.925781
2025-05-02 오전 9:15:00,39325.683594,38522.734375
2025-05-02 오전 9:20:00,38768.234375,37917.902344
2025-05-02 오전 9:25:00,38508.667969,37646.933594
2025-05-02 오전 9:30:00,38106.902344,37223.84375
2025-05-02 오전 9:35:00,37944.820312,37043.527344
2025-05-02 오전 9:40:00,37596.132812,36700.074219
2025-05-02 오전 9:45:00,37462.792969,36598.90625
2025-05-02 오전 9:50:00,37141.1875,36259.117188
2025-05-02 오전 9:55:00,36638.277344,35751.601562
2025-05-02 오전 10:00:00,36300.804688,35404.09375
2025-05-02 오전 10:05:00,36599.054688,35754.375
2025-05-02 오전 10:10:00,36519.546875,35653.742188
2025-05-02 오전 10:15:00,36262.957031,35425.402344
2025-05-02 오전 10:20:00,36448.140625,35608.652344
2025-05-02 오전 10:25:00,36204.953125,35367.410156
2025-05-02 오전 10:30:00,36095.472656,35279.871094
2025-05-02 오전 10:35:00,36226.289062,35417.5
2025-05-02 오전 10:40:00,36103.988281,35280.804688
2025-05-02 오전 10:45:00,36034.347656,35212.804688
2025-05-02 오전 10:50:00,35594.53125,34762.285156
2025-05-02 오전 10:55:00,35463.59375,34597.484375
2025-05-02 오전 11:00:00,35371.355469,34525.652344
2025-05-02 오전 11:05:00,34573.148438,33711.894531
2025-05-02 오전 11:10:00,34483.171875,33626.503906
2025-05-02 오전 11:15:00,34410.160156,33561.320312
2025-05-02 오전 11:20:00,34266.027344,33300.667969
2025-05-02 오전 11:25:00,33969.722656,33115.640625
2025-05-02 오전 11:30:00,33546.222656,32683.396484
2025-05-02 오전 11:35:00,33512.109375,32651.994141
2025-05-02 오전 11:40:00,33528.730469,32689.880859
2025-05-02 오전 11:45:00,33550.007812,32686.466797
2025-05-02 오전 11:50:00,33197.992188,32328.685547
2025-05-02 오전 11:55:00,32794.074219,31908.039062
2025-05-02 오후 12:00:00,32829.339844,31971.214844
2025-05-02 오후 12:05:00,32718.396484,31872.632812
2025-05-02 오후 12:10:00,32774.859375,31922.03125
2025-05-02 오후 12:15:00,32584.974609,31725.037109
2025-05-02 오후 12:20:00,32265.464844,31391.294922
2025-05-02 오후 12:25:00,32308.269531,31429.644531
2025-05-02 오후 12:30:00,32424.529297,31580.693359
2025-05-02 오후 12:35:00,32497.033203,31654.685547
2025-05-02 오후 12:40:00,32424.761719,31560.947266
2025-05-02 오후 12:45:00,32516.869141,31663.707031
2025-05-02 오후 12:50:00,32444.84375,31590.398438
2025-05-02 오후 12:55:00,32547.367188,31714.005859
2025-05-02 오후 1:00:00,33115.769531,32292.783203
2025-05-02 오후 1:05:00,33628.757812,32810.652344
2025-05-02 오후 1:10:00,33747.894531,32949.929688
2025-05-02 오후 1:15:00,34003.292969,33209.359375
2025-05-02 오후 1:20:00,33919.066406,33106.878906
2025-05-02 오후 1:25:00,34326.109375,33505.570312
