gen_id,bus,Pg,Qg,type,S_base_MVA,H_s,M,D
84,129,7.819465,0.309417,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
104,149,14.0,0.658448,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
80,129,8.230742,0.309417,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
98,141,9.5,-0.782357,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
113,165,2.09,0.012442,Coal,900.0,5.0,23.873241463784304,47.74648292756861
110,158,7.7,-3.553793,LNG,880.0,3.0,14.005634992086792,28.011269984173584
70,113,4.0,0.560515,LNG,880.0,3.0,14.005634992086792,28.011269984173584
14,24,4.4,1.356444,LNG,770.0,3.0,12.254930618075942,24.509861236151885
7,7,7.46984,-0.461419,Coal,1100.0,5.0,29.17840623351415,58.3568124670283
96,141,10.0,-0.782357,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
57,88,5.0,-0.608783,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
8,8,8.0,0.958692,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
64,91,9.5,-1.531638,Coal,900.0,5.0,23.873241463784304,47.74648292756861
19,26,7.655391,0.764771,LNG,770.0,3.0,12.254930618075942,24.509861236151885
91,139,8.905886,-0.465813,LNG,770.0,3.0,12.254930618075942,24.509861236151885
102,147,9.9,0.07867,LNG,440.0,3.0,7.002817496043396,14.005634992086792
60,91,10.0,-1.531638,Coal,900.0,5.0,23.873241463784304,47.74648292756861
97,141,10.0,-0.782357,Coal,1100.0,5.0,29.17840623351415,58.3568124670283
4,2,4.0,1.051174,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
22,28,5.5,-1.304393,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
11,24,7.0,1.356444,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
35,44,8.8,-1.0746,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
67,108,7.0,0.088248,Coal,900.0,5.0,23.873241463784304,47.74648292756861
15,25,9.9,0.791874,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
118,168,8.8,-0.484553,Nuclear,1000.0,6.0,31.83098861837907,63.66197723675814
100,141,6.5,-0.782357,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
16,26,7.216457,0.764771,Nuclear,950.0,6.0,30.239439187460118,60.478878374920235
40,49,7.56839,0.129663,Nuclear,650.0,6.0,20.690142601946395,41.38028520389279
21,26,8.8,0.764771,LNG,440.0,3.0,7.002817496043396,14.005634992086792
38,49,7.281274,0.129663,LNG,990.0,3.0,15.75633936609764,31.51267873219528
72,126,9.116328,0.472308,LNG,990.0,3.0,15.75633936609764,31.51267873219528
83,129,7.780606,0.309417,Nuclear,1400.0,6.0,44.5633840657307,89.1267681314614
45,52,7.435815,-10.134298,Nuclear,1400.0,6.0,44.5633840657307,89.1267681314614
68,108,7.0,0.088248,LNG,770.0,3.0,12.254930618075942,24.509861236151885
56,79,8.8,-0.422257,LNG,440.0,3.0,7.002817496043396,14.005634992086792
36,44,8.8,-1.0746,LNG,770.0,3.0,12.254930618075942,24.509861236151885
95,139,7.16369,-0.465813,LNG,880.0,3.0,14.005634992086792,28.011269984173584
66,108,10.0,0.088248,LNG,770.0,3.0,12.254930618075942,24.509861236151885
76,126,7.203312,0.472308,LNG,550.0,3.0,8.753521870054245,17.50704374010849
85,129,7.7,0.309417,LNG,990.0,3.0,15.75633936609764,31.51267873219528
48,72,10.0,-1.084683,LNG,880.0,3.0,14.005634992086792,28.011269984173584
103,147,9.9,0.07867,LNG,880.0,3.0,14.005634992086792,28.011269984173584
18,26,8.872249,0.764771,LNG,880.0,3.0,14.005634992086792,28.011269984173584
30,40,8.8,0.363243,LNG,880.0,3.0,14.005634992086792,28.011269984173584
105,149,14.0,0.658448,LNG,770.0,3.0,12.254930618075942,24.509861236151885
